ID;Text;Label
D1-1;The human heart beats approximately 100,000 times per day.;Anthropic
D1-2;The Milky Way galaxy contains an estimated 100-400 billion stars.;Anthropic
D1-3;Photosynthesis is the process by which plants convert light energy into chemical energy in the form of glucose.;Anthropic
D1-4;DNA is the genetic material that carries the instructions for the development and functioning of living organisms.;Anthropic
D1-5;The speed of light in a vacuum is approximately 299,792,458 meters per second.;Anthropic
D1-6;Neurons are the basic units of the nervous system and are responsible for transmitting electrical signals throughout the body.;Anthropic
D1-7;Water is the most abundant compound on Earth, covering approximately 71% of the planet's surface.;Anthropic
D1-8;The periodic table is a tabular arrangement of chemical elements organized by their atomic number and chemical properties.;Anthropic
D1-9;The human brain is the most complex organ in the body, containing approximately 86 billion neurons.;Anthropic
D1-10;Enzymes are proteins that act as catalysts, speeding up chemical reactions in the body.;Anthropic
D1-11;Diamonds are the hardest known natural material, rating 10 on the Mohs hardness scale.;Anthropic
D1-12;Quantum mechanics is the branch of physics that describes the behavior of matter and energy on the atomic and subatomic scale.;Anthropic
D1-13;The human body is composed of approximately 60% water.;Anthropic
D1-14;Photons are the fundamental particles of light, and they exhibit both wave-like and particle-like properties.;Anthropic
D1-15;"Mitochondria are the ""powerhouses"" of eukaryotic cells, responsible for producing the majority of the cell's energy in the form of ATP.";Anthropic
D1-16;The second law of thermodynamics states that the entropy of an isolated system not in equilibrium will tend to increase over time, approaching a maximum value at equilibrium.;Anthropic
D1-17;Boyle's law describes the relationship between the pressure and volume of a gas, stating that the pressure of a gas is inversely proportional to its volume.;Anthropic
D1-18;The greenhouse effect is a process that occurs when certain gases in the Earth's atmosphere trap heat from the sun, contributing to global warming.;Anthropic
D1-19;Carbon dioxide (CO2) is a greenhouse gas that traps heat in the Earth's atmosphere, contributing to climate change.;Anthropic
D1-20;Osmosis is the process by which water molecules move from an area of low solute concentration to an area of high solute concentration through a semipermeable membrane.;Anthropic
D1-21;The human body has approximately 206 bones, with the number varying slightly due to individual differences.;Anthropic
D1-22;The Avogadro constant is the number of particles (atoms or molecules) in one mole of a substance, approximately 6.022 × 10^23.;Anthropic
D1-23;The theory of relativity, developed by Albert Einstein, describes the relationship between space, time, and the behavior of matter and energy.;Anthropic
D1-24;Prokaryotes are single-celled organisms that lack a membrane-bound nucleus and organelles, such as bacteria and archaea.;Anthropic
D1-25;Homeostasis is the process by which living organisms maintain a stable internal environment, despite changes in external conditions.;Anthropic
D1-26;Radioactivity is the emission of ionizing radiation from the nuclei of unstable atoms, which can have harmful effects on living organisms.;Anthropic
D1-27;The electromagnetic spectrum is the range of all possible frequencies of electromagnetic radiation, including visible light, X-rays, and radio waves.;Anthropic
D1-28;Momentum is the product of an object's mass and velocity, and it is a conserved quantity in a closed system.;Anthropic
D1-29;The Big Bang theory is the leading scientific explanation for the origin and evolution of the universe, which began approximately 13.8 billion years ago.;Anthropic
D1-30;Photosynthetic organisms, such as plants and some bacteria, convert light energy from the sun into chemical energy in the form of glucose.;Anthropic
D1-31;The human brain is the most complex organ in the body, with over 100 billion neurons.;Anthropic
D1-32;Water is the most abundant compound on Earth, covering approximately 71% of the planet's surface.;Anthropic
D1-33;Photosynthesis is the process by which plants convert light energy from the sun into chemical energy in the form of glucose.;Anthropic
D1-34;The periodic table of elements organizes all known chemical elements based on their atomic number and chemical properties.;Anthropic
D1-35;DNA, or deoxyribonucleic acid, is the genetic material that carries the instructions for the development and functioning of living organisms.;Anthropic
D1-36;The speed of light in a vacuum is approximately 299,792,458 meters per second, which is considered a fundamental constant of nature.;Anthropic
D1-37;The human body is composed of trillions of cells, each with its own specialized function.;Anthropic
D1-38;Gravity is a fundamental force of nature that attracts objects with mass towards each other.;Anthropic
D1-39;Atoms are the basic building blocks of all matter, consisting of a nucleus surrounded by a cloud of electrons.;Anthropic
D1-40;"The mitochondria, often referred to as the ""powerhouses"" of the cell, are responsible for producing the majority of a cell's energy in the form of ATP.";Anthropic
D1-41;The pH scale measures the acidity or basicity of a solution, ranging from 0 to 14, with 7 being neutral.;Anthropic
D1-42;Neurons are the specialized cells that transmit electrical signals throughout the nervous system, enabling communication and coordination in the body.;Anthropic
D1-43;The second law of thermodynamics states that the entropy, or disorder, of an isolated system not in equilibrium will tend to increase over time.;Anthropic
D1-44;Hemoglobin is the protein in red blood cells that is responsible for transporting oxygen from the lungs to the body's tissues.;Anthropic
