ID;Text;Predict_Numpy_DNN;Predict_PyTorch_GRU
<<<<<<< HEAD
=======
D2-1;A covalent bond is a chemical bond that involves the sharing of electrons to form electron pairs between atoms. These electron pairs are known as shared pairs or bonding pairs. The stable balance of attractive and repulsive forces between atoms, when they share electrons, is known as covalent bonding. For many molecules, the sharing of electrons allows each atom to attain the equivalent of a full valence shell, corresponding to a stable electronic configuration. In organic chemistry, covalent bonding is much more common than ionic bonding. Covalent bonding also includes many kinds of interactions, including σ-bonding, π-bonding, metal-to-metal bonding, agostic interactions, bent bonds, three-center two-electron bonds and three-center four-electron bonds.;Google;OpenAI
D2-2;A covalent bond forms when two atoms share one or more pairs of electrons, rather than transferring them as happens in ionic bonds. This sharing allows each atom to achieve a more stable electron configuration. Covalent bonds are fundamental to the chemistry of life - they hold together molecules like water, DNA, proteins, and carbohydrates. The strength and directionality of these bonds determine a molecule's shape, which in turn influences how it behaves and interacts with other molecules. Without covalent bonds, complex organic chemistry simply wouldn't exist, making them essential to biology, medicine, materials science, and countless industrial applications.;Google;OpenAI
D2-3;A covalent bond is a type of chemical bond where two atoms share one or more pairs of electrons to achieve stability. This typically occurs between nonmetal atoms, allowing them to fill their outer electron shells. Covalent bonds can be single, double, or triple, depending on the number of shared electron pairs. They are essential in forming molecules like water (H₂O), oxygen (O₂), and carbon dioxide (CO₂). These bonds can be polar, where electrons are shared unequally (as in H₂O), or nonpolar, where electrons are shared equally (as in O₂). Covalent bonds are generally strong and play a crucial role in biological molecules like DNA, proteins, and carbohydrates.;OpenAI;OpenAI
D2-4;A covalent bond is a chemical bond that involves the sharing of electron pairs between atoms. This type of bond is typically formed between non-metal atoms and is characterized by the mutual attraction between the shared electrons and the nuclei of the participating atoms. Covalent bonds are relevant in understanding the structure and properties of molecules, as they determine the shape, polarity, and reactivity of the molecules, which in turn affects the physical and chemical properties of the substances they form, playing a crucial role in various fields such as chemistry, biology, and materials science.;OpenAI;OpenAI
D2-5;Driven by exciting developments in the field of nanotechnology, which is one of the most prominent research areas of our time, the demand of novel materials with precisely adjustable properties and structures has steadily increased, especially for the construction of electronic devices. The current approach following continuous downsizing of the structural patterns of silica-based semiconductors and other nanoelectronic devices is intrinsically limited by physical laws (top-down approach). To overcome this particular and important problem a promising, but chemically rather challenging alternative, the so called bottom-up approach, is nowadays extensively investigated. The underlying principle of this method is the linkage of nano-sized building block units to create larger areas of defined and highly ordered nanostructures.;Human;Human
D2-6;"Ionic bonding results from the electrostatic attraction of oppositely charged ions that are typically produced by the transfer of electrons between metallic and nonmetallic atoms. A different type of bonding results from the mutual attraction of atoms for a “shared” pair of electrons. Such bonds are called covalent bonds. Covalent bonds are formed between two atoms when both have similar tendencies to attract electrons to themselves (i.e., when both atoms have identical or fairly similar ionization energies and electron affinities). For example, two hydrogen atoms bond covalently to form an H2 molecule; each hydrogen atom in the H2 molecule has two electrons stabilizing it, giving each atom the same number of valence electrons as the noble gas";Human;Human
D2-7;Plate tectonics is the scientific theory explaining how Earth's lithosphere—the rigid outer layer consisting of the crust and uppermost mantle—is divided into several large and small plates that move relative to one another. These plates float on the semi-fluid asthenosphere beneath them, driven primarily by convection currents in the mantle. Where plates meet, three main types of boundaries form: convergent (plates collide, creating mountains and subduction zones), divergent (plates separate, forming rifts and mid-ocean ridges), and transform (plates slide past each other, causing earthquakes). This continuous movement, occurring at rates of 1-15 cm annually, explains diverse geological phenomena including mountain formation, earthquakes, volcanic activity, and continental drift. Developed in the 1960s, plate tectonics revolutionized our understanding of Earth's dynamic surface.;OpenAI;OpenAI
D2-8;"Plate tectonics is a fundamental scientific theory explaining the large-scale movements of Earth's lithosphere. Our planet's rigid outer shell is not a single piece but is broken into several large and smaller plates, comprising both continental and oceanic crust. These colossal plates are constantly, albeit slowly, gliding over the semi-fluid asthenosphere below them, driven primarily by convection currents within Earth's mantle. The interactions at plate boundaries are responsible for most of the major geological features and phenomena we observe. Where plates pull apart, new crust is formed; where they collide, mountains rise and one plate often subducts beneath another, leading to deep ocean trenches, earthquakes, and volcanic activity. This ongoing process reshapes the Earth's surface over millions of years.";Google;OpenAI
D2-9;Tectonic plates are relatively rigid and float across the ductile asthenosphere beneath. Lateral density variations in the mantle result in convection currents, the slow creeping motion of Earth's solid mantle. At a seafloor spreading ridge, plates move away from the ridge, and the newly formed crust cools as it moves away, increasing its density and contributing to the motion. At a subduction zone, the relatively cold, dense oceanic crust sinks down into the mantle, forming the downward convecting limb of a mantle cell, which is the strongest driver of plate motion. The relative importance and interaction of other proposed factors such as active convection, upwelling inside the mantle, and tidal drag of the Moon is still the subject of debate.;OpenAI;OpenAI
D2-10;At present, young oceanic lithosphere is positively buoyant, and it does not become negatively buoyant until it is older than about 20 m.y. If, in the past, the mantle was hotter, the oceanic crust would have been thicker and the lithosphere's age of neutral buoyancy greater. On the other hand, the hotter mantle would have had a lower viscosity and convected faster, so the average age of oceanic plates at subduction would have been less than the present 100 m.y. At some time in the past, average oceanic lithosphere would have only just become negatively buoyant as it reached a subduction zone.;Human;Human
D2-11;"Plate tectonics is the scientific theory that explains the movement of Earth’s lithospheric plates, which float on the semi-fluid asthenosphere beneath them. These plates constantly shift due to convection currents in the Earth’s mantle, leading to interactions at their boundaries. There are three main types of plate boundaries: divergent, where plates move apart (forming mid-ocean ridges); convergent, where they collide (creating mountains or subduction zones); and transform, where they slide past each other (causing earthquakes). Plate tectonics is responsible for earthquakes, volcanic activity, mountain formation, and continental drift. It also plays a crucial role in Earth’s climate regulation and geological evolution, shaping the planet’s surface over millions of years.";OpenAI;OpenAI
D2-12;"Developed from the 1950s through the 1970s, plate tectonics is the modern version of continental drift, a theory first proposed by scientist Alfred Wegener in 1912. Wegener didn't have an explanation for how continents could move around the planet, but researchers do now. Plate tectonics is the unifying theory of geology, said Nicholas van der Elst, a seismologist at Columbia University's Lamont-Doherty Earth Observatory in Palisades, New York. ""Before plate tectonics, people had to come up with explanations of the geologic features in their region that were unique to that particular region,"" Van der Elst said. ""Plate tectonics unified all these descriptions and said that you should be able to describe all geologic features.""";Human;Human
D2-13;Introductory textbooks contrast Lamarckism with Charles Darwin's theory of evolution by natural selection. However, Darwin's book On the Origin of Species gave credence to the idea of heritable effects of use and disuse, as Lamarck had done, and his own concept of pangenesis similarly implied soft inheritance. Many researchers from the 1860s onwards attempted to find evidence for Lamarckian inheritance, but these have all been explained away, either by other mechanisms such as genetic contamination or as fraud. August Weismann's experiment, considered definitive in its time, is now considered to have failed to disprove Lamarckism, as it did not address use and disuse. Later, Mendelian genetics supplanted the notion of inheritance of acquired traits´.;Human;Human
D2-14;The first meaning of Lamarckism is the notion that acquired characters can or will be inherited. Jean Baptiste de Lamarck strongly promoted this idea, but it was not original to him.Footnote2 We discuss this notion of Lamarckism extensively below. A second strong theme in the writings of Lamarck, which he developed rather than originated, is the idea that evolution involves increasing complexity. Although later Lamarckians such as Herbert Spencer took up this idea, it has today grown beyond its Lamarckian associations, and is rarely associated specifically with the Lamarckian label. A third use of the Lamarckian label associates it with the emphasis on will, choice, anticipation, or volitional activity in the process of evolutionary change. ;Human;Human
