ID;Label
D2-101;Anthropic
D2-102;Anthropic
D2-103;Anthropic
D2-104;Anthropic
D2-105;Anthropic
D2-106;Anthropic
D2-107;Anthropic
D2-108;Anthropic
D2-109;Anthropic
D2-110;Anthropic
D2-111;Anthropic
D2-112;Anthropic
D2-113;Anthropic
D2-114;Anthropic
D2-115;Anthropic
D2-116;Anthropic
D2-117;Anthropic
D2-118;Anthropic
D2-119;Anthropic
D2-120;Anthropic
D2-121;Anthropic
D2-122;Anthropic
D2-123;Anthropic
D2-124;Anthropic
D2-125;Anthropic
D2-126;Anthropic
D2-127;Anthropic
D2-128;Anthropic
D2-129;Anthropic
D2-130;Anthropic
D2-131;Anthropic
D2-132;Anthropic
D2-133;Anthropic
D2-134;Anthropic
D2-135;Anthropic
D2-136;Anthropic
D2-137;Anthropic
D2-138;Anthropic
D2-139;Anthropic
D2-140;Anthropic
D2-141;Anthropic
D2-142;Anthropic
D2-143;Anthropic
D2-144;Anthropic
D2-145;Anthropic
D2-146;Anthropic
D2-147;Anthropic
D2-148;Anthropic
D2-149;Anthropic
D2-150;Anthropic
D3-1;Anthropic
D3-2;Anthropic
D3-3;Anthropic
D3-4;Anthropic
D3-5;Anthropic
D3-6;Anthropic
D3-7;Anthropic
D3-8;Anthropic
D3-9;Anthropic
D3-10;Anthropic
D3-11;Anthropic
D3-12;Anthropic
D3-13;Anthropic
D3-14;Anthropic
D3-15;Anthropic
D3-16;Anthropic
D3-17;Anthropic
D3-18;Anthropic
D3-19;Anthropic
D3-20;Anthropic
D3-21;Anthropic
D3-22;Anthropic
D3-23;Anthropic
D3-24;Anthropic
D3-25;Anthropic
D3-26;Anthropic
D3-27;Anthropic
D3-28;Anthropic
D3-29;Anthropic
D3-30;Anthropic
D3-31;Anthropic
D3-32;Anthropic
D3-33;Anthropic
D3-34;Anthropic
D3-35;Anthropic
D3-36;Anthropic
D3-37;Anthropic
D3-38;Anthropic
D3-39;Anthropic
D3-40;Anthropic
D3-41;Anthropic
D3-42;Anthropic
D3-43;Anthropic
D3-44;Anthropic
D3-45;Anthropic
D3-46;Anthropic
D3-47;Anthropic
D3-48;Anthropic
D3-49;Anthropic
D3-50;Anthropic
D3-51;Anthropic
D3-52;Anthropic
D3-53;Anthropic
D3-54;Anthropic
D3-55;Anthropic
D3-56;Anthropic
D3-57;Anthropic
D3-58;Anthropic
D3-59;Anthropic
D3-60;Anthropic
D3-61;Anthropic
D3-62;Anthropic
D3-63;Anthropic
D3-64;Anthropic
D3-65;Anthropic
D3-66;Anthropic
D3-67;Anthropic
D3-68;Anthropic
D3-69;Anthropic
D3-70;Anthropic
D3-71;Anthropic
D3-72;Anthropic
D3-73;Anthropic
D3-74;Anthropic
D3-75;Anthropic
D3-76;Anthropic
D3-77;Anthropic
D3-78;Anthropic
D3-79;Anthropic
D3-80;Anthropic
D3-81;Anthropic
D3-82;Anthropic
D3-83;Anthropic
D3-84;Anthropic
D3-85;Human
D3-86;Anthropic
D3-87;Anthropic
D3-88;Anthropic
D3-89;Anthropic
D3-90;Anthropic
D3-91;Anthropic
D3-92;Anthropic
D3-93;Anthropic
D3-94;Anthropic
D3-95;Anthropic
D3-96;Anthropic
D3-97;Anthropic
D3-98;Anthropic
D3-99;Anthropic
D3-100;Anthropic
